Date,Home Team,Away Team,Home Score,Away Score,Winner
19-11-2016,Philadelphia 76ers,Phoenix Suns,120,105,Home
19-11-2016,Memphis Grizzlies,Minnesota Timberwolves,93,71,Home
19-11-2016,Milwaukee Bucks,Golden State Warriors,121,124,Away
19-11-2016,LA Clippers,Chicago Bulls,102,95,Home
20-11-2016,New York Knicks,Atlanta Hawks,104,94,Home
20-11-2016,Brooklyn Nets,Portland Trail Blazers,109,129,Away
20-11-2016,Oklahoma City Thunder,Indiana Pacers,111,115,Away
20-11-2016,Sacramento Kings,Toronto Raptors,102,99,Home
20-11-2016,Denver Nuggets,Utah Jazz,105,91,Home
20-11-2016,Los Angeles Lakers,Chicago Bulls,110,118,Away
21-11-2016,Philadelphia 76ers,Miami Heat,101,94,Home
21-11-2016,Washington Wizards,Phoenix Suns,106,101,Home
21-11-2016,Charlotte Hornets,Memphis Grizzlies,90,105,Away
21-11-2016,Indiana Pacers,Golden State Warriors,83,120,Away
21-11-2016,Detroit Pistons,Houston Rockets,96,99,Away
21-11-2016,Milwaukee Bucks,Orlando Magic,93,89,Home
21-11-2016,Minnesota Timberwolves,Boston Celtics,93,99,Away
21-11-2016,San Antonio Spurs,Dallas Mavericks,96,91,Home
21-11-2016,LA Clippers,Toronto Raptors,123,115,Home
22-11-2016,New York Knicks,Portland Trail Blazers,107,103,Home
22-11-2016,Atlanta Hawks,New Orleans Pelicans,94,112,Away
22-11-2016,Denver Nuggets,Chicago Bulls,110,107,Home
22-11-2016,Los Angeles Lakers,Oklahoma City Thunder,111,109,Home
23-11-2016,Philadelphia 76ers,Memphis Grizzlies,99,104,Away
23-11-2016,Charlotte Hornets,San Antonio Spurs,114,119,Away
23-11-2016,Orlando Magic,Phoenix Suns,87,92,Away
23-11-2016,Cleveland Cavaliers,Portland Trail Blazers,137,125,Home
23-11-2016,Indiana Pacers,Atlanta Hawks,85,96,Away
23-11-2016,Brooklyn Nets,Boston Celtics,92,111,Away
23-11-2016,Detroit Pistons,Miami Heat,107,84,Home
23-11-2016,Houston Rockets,Toronto Raptors,102,115,Away
23-11-2016,Dallas Mavericks,LA Clippers,104,124,Away
23-11-2016,Utah Jazz,Denver Nuggets,108,83,Home
23-11-2016,New Orleans Pelicans,Minnesota Timberwolves,117,96,Home
23-11-2016,Golden State Warriors,Los Angeles Lakers,149,106,Home
23-11-2016,Sacramento Kings,Oklahoma City Thunder,116,101,Home
25-11-2016,Boston Celtics,San Antonio Spurs,103,109,Away
25-11-2016,Orlando Magic,Washington Wizards,91,94,Away
25-11-2016,Cleveland Cavaliers,Dallas Mavericks,128,90,Home
25-11-2016,New York Knicks,Charlotte Hornets,113,111,Home
25-11-2016,Philadelphia 76ers,Chicago Bulls,89,105,Away
25-11-2016,Detroit Pistons,LA Clippers,108,97,Home
25-11-2016,Utah Jazz,Atlanta Hawks,95,68,Home
25-11-2016,Milwaukee Bucks,Toronto Raptors,99,105,Away
25-11-2016,Memphis Grizzlies,Miami Heat,81,90,Away
25-11-2016,Indiana Pacers,Brooklyn Nets,118,97,Home
25-11-2016,Denver Nuggets,Oklahoma City Thunder,129,132,Away
25-11-2016,Phoenix Suns,Minnesota Timberwolves,85,98,Away
25-11-2016,Portland Trail Blazers,New Orleans Pelicans,119,104,Home
25-11-2016,Los Angeles Lakers,Golden State Warriors,85,109,Away
25-11-2016,Sacramento Kings,Houston Rockets,104,117,Away
26-11-2016,Washington Wizards,San Antonio Spurs,100,112,Away
26-11-2016,Charlotte Hornets,New York Knicks,107,102,Home
26-11-2016,Oklahoma City Thunder,Detroit Pistons,106,88,Home
26-11-2016,Miami Heat,Memphis Grizzlies,107,110,Away
26-11-2016,Golden State Warriors,Minnesota Timberwolves,115,102,Home
27-11-2016,Philadelphia 76ers,Cleveland Cavaliers,108,112,Away
27-11-2016,Phoenix Suns,Denver Nuggets,114,120,Away
27-11-2016,Brooklyn Nets,Sacramento Kings,105,122,Away
27-11-2016,Orlando Magic,Milwaukee Bucks,96,104,Away
27-11-2016,Indiana Pacers,LA Clippers,91,70,Home
27-11-2016,Dallas Mavericks,New Orleans Pelicans,91,81,Home
27-11-2016,Portland Trail Blazers,Houston Rockets,114,130,Away
27-11-2016,Los Angeles Lakers,Atlanta Hawks,109,94,Home
28-11-2016,Washington Wizards,Sacramento Kings,101,95,Home
28-11-2016,Toronto Raptors,Philadelphia 76ers,122,95,Home
28-11-2016,New York Knicks,Oklahoma City Thunder,103,112,Away
28-11-2016,Miami Heat,Boston Celtics,104,112,Away
28-11-2016,Memphis Grizzlies,Charlotte Hornets,85,104,Away
28-11-2016,Minnesota Timberwolves,Utah Jazz,103,112,Away
28-11-2016,Golden State Warriors,Atlanta Hawks,105,100,Home
29-11-2016,Charlotte Hornets,Detroit Pistons,89,112,Away
29-11-2016,Brooklyn Nets,LA Clippers,127,122,Home
29-11-2016,Milwaukee Bucks,Cleveland Cavaliers,118,101,Home
29-11-2016,New Orleans Pelicans,Los Angeles Lakers,105,88,Home
29-11-2016,San Antonio Spurs,Orlando Magic,83,95,Away
29-11-2016,Utah Jazz,Houston Rockets,120,101,Home
30-11-2016,Boston Celtics,Detroit Pistons,114,121,Away
30-11-2016,Toronto Raptors,Memphis Grizzlies,120,105,Home
30-11-2016,Chicago Bulls,Los Angeles Lakers,90,96,Away
30-11-2016,Oklahoma City Thunder,Washington Wizards,126,115,Home
30-11-2016,Minnesota Timberwolves,New York Knicks,104,106,Away
30-11-2016,Dallas Mavericks,San Antonio Spurs,87,94,Away
30-11-2016,Denver Nuggets,Miami Heat,98,106,Away
30-11-2016,Phoenix Suns,Atlanta Hawks,109,107,Home
30-11-2016,Portland Trail Blazers,Indiana Pacers,131,109,Home
01-12-2016,Charlotte Hornets,Dallas Mavericks,97,87,Home
01-12-2016,Brooklyn Nets,Milwaukee Bucks,93,111,Away
01-12-2016,Memphis Grizzlies,Orlando Magic,95,94,Home
01-12-2016,Cleveland Cavaliers,LA Clippers,94,113,Away
01-12-2016,Utah Jazz,Miami Heat,110,111,Away
01-12-2016,Golden State Warriors,Houston Rockets,127,132,Away
02-12-2016,Philadelphia 76ers,Orlando Magic,88,105,Away
02-12-2016,Boston Celtics,Sacramento Kings,97,92,Home
02-12-2016,Toronto Raptors,Los Angeles Lakers,113,80,Home
02-12-2016,New York Knicks,Minnesota Timberwolves,118,114,Home
02-12-2016,Chicago Bulls,Cleveland Cavaliers,111,105,Home
02-12-2016,New Orleans Pelicans,LA Clippers,96,114,Away
02-12-2016,Atlanta Hawks,Detroit Pistons,85,121,Away
02-12-2016,San Antonio Spurs,Washington Wizards,107,105,Home
02-12-2016,Denver Nuggets,Houston Rockets,110,128,Away
03-12-2016,Milwaukee Bucks,Brooklyn Nets,112,103,Home
03-12-2016,Charlotte Hornets,Minnesota Timberwolves,120,125,Away
03-12-2016,Toronto Raptors,Atlanta Hawks,128,84,Home
03-12-2016,Philadelphia 76ers,Boston Celtics,106,107,Away
